ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
hs1045	chr1:38819171-38820577	LOC339442-RRAGC	chr1:38353499-38354905	chr4:124052324-124053552	Rragc-1700057H15Rik	chr4:124375081-124376309
hs1546	chr1:38835996-38838106	LOC339442-RRAGC	chr1:38370324-38372434	chr4:124036487-124038485	Rragc-1700057H15Rik	chr4:124359244-124361242
hs1031	chr1:39192609-39194134	LOC339442-RRAGC	chr1:38726937-38728462	chr4:123712580-123714104	Rragc-1700057H15Rik	chr4:124035337-124036861
hs1139	chr1:39248757-39250129	LOC339442-RRAGC	chr1:38783085-38784457	chr4:123667603-123669038	Rragc-1700057H15Rik	chr4:123990360-123991795
hs850	chr1:39291500-39292441	LOC339442-RRAGC	chr1:38825828-38826769	chr4:123626035-123626947	Rragc-1700057H15Rik	chr4:123948792-123949704
hs1999	chr1:39629409-39631707	MACF1(intragenic)	chr1:39163737-39166035	chr4:123282110-123284759	D830031N03Rik-BC002163	chr4:123604867-123607516
hs1674	chr1:41710596-41712937	SCMH1-FOXO6	chr1:41244924-41247265	chr4:120064272-120068858	Foxo6-Scmh1	chr4:120391667-120396253
mm145	chr1:41711100-41713009	SCMH1-FOXO6	chr1:41245428-41247337	chr4:120064208-120066551	Foxo6-Scmh1	chr4:120391603-120393946
mm586	chr1:43221810-43223454	LEPRE1(intragenic)	chr1:42756139-42757783	chr4:118911390-118912802	Lepre1(intragenic)	chr4:119238785-119240197
mm165	chr1:43523840-43524849	SLC2A1-AS1-FAM183A	chr1:43058169-43059178	chr4:118691756-118692681	Lao1-Slc2a1	chr4:119019151-119020076
hs1857	chr1:44500383-44503337	SLC6A9-KLF17	chr1:44034711-44037665	chr4:117501319-117504204	Klf17-Slc6a9	chr4:117828714-117831599
hs277	chr1:44715420-44716129	ERI3-IT1-RNF220	chr1:44249748-44250457	chr4:117319511-117320215	Eri3(intragenic)	chr4:117646906-117647610
hs280	chr1:44989824-44991149	RNF220(intragenic)	chr1:44524152-44525477	chr4:117063587-117064919	Rnf220(intragenic)	chr4:117390982-117392314
hs295	chr1:49112757-49113363	AGBL4(intragenic)	chr1:48647085-48647691	chr4:111225456-111226051	Bend5-Spata6	chr4:111552851-111553446
hs247	chr1:51006090-51007314	FAF1(intragenic)	chr1:50540418-50541642	chr4:109554618-109555892	Faf1(intragenic)	chr4:109882013-109883287
hs194	chr1:51034546-51036289	FAF1(intragenic)	chr1:50568874-50570617	chr4:109531316-109533048	Faf1(intragenic)	chr4:109858711-109860443
hs197	chr1:51098841-51099913	FAF1(intragenic)	chr1:50633169-50634241	chr4:109478584-109479627	Faf1(intragenic)	chr4:109805979-109807022
hs200	chr1:51165195-51166786	FAF1(intragenic)	chr1:50699523-50701114	chr4:109434849-109436376	Faf1(intragenic)	chr4:109762244-109763771
mm1490	chr1:53124362-53128252	FAM159A-COA7	chr1:52658690-52662580	chr4:108033623-108037133	2010305A19Rik-Fam159a	chr4:108361018-108364528
hs2585	chr1:53586278-53591055	SLC1A7(intragenic)	chr1:53120606-53125383	chr4:107655908-107660019	Slc1a7(intragenic)	chr4:107983303-107987414
mm330	chr1:54011228-54014808	GLIS1(intragenic)	chr1:53545555-53549135	chr4:107274653-107277218	Glis1(intragenic)	chr4:107602048-107604613
mm1261	chr1:54724793-54726797	SSBP3-AS1-ACOT11	chr1:54259120-54261124	chr4:106697141-106699010	Ssbp3(intragenic)	chr4:107024536-107026405
hs1487	chr1:54925046-54928826	SSBP3-AS1-ACOT11	chr1:54459373-54463153	chr4:106536816-106540166	Acot11-Ssbp3	chr4:106864211-106867561
mm1527	chr1:54925263-54928673	SSBP3-AS1-ACOT11	chr1:54459590-54463000	chr4:106537193-106539896	Acot11-Ssbp3	chr4:106864588-106867291
hs1622	chr1:56240104-56242435	MIR4422-PPAP2B	chr1:55774431-55776762	chr4:105532618-105536551	Ppap2b-Usp24	chr4:105860013-105863946
mm1174	chr1:56752781-56753987	MIR4422-PPAP2B	chr1:56287109-56288315	chr4:105100079-105101213	Ppap2b-Usp24	chr4:105427474-105428608
mm1176	chr1:57119595-57120893	PRKAA2(intragenic)	chr1:56653922-56655220	chr4:104772719-104773834	Prkaa2(intragenic)	chr4:105100114-105101229
hs1485	chr1:59522325-59524092	LOC101926925(intragenic)	chr1:59056653-59058420	chr4:94984095-94985711	Jun-Fggy	chr4:95317404-95319020
mm308	chr1:59522444-59523783	LOC101926925(intragenic)	chr1:59056772-59058111	chr4:94984220-94985425	Jun-Fggy	chr4:95317529-95318734
hs1609	chr1:60102624-60105491	FGGY(intragenic)	chr1:59636952-59639819	chr4:95487754-95490493	Fggy(intragenic)	chr4:95821063-95823802
hs683	chr1:61086857-61087871	C1orf87-LOC101926964	chr1:60621185-60622199	chr4:97044275-97045293	Gm12695-E130114P18Rik	chr4:97377584-97378602
mm1308	chr1:61400158-61404434	LOC101926964-LOC100996570	chr1:60934486-60938762	chr4:97313903-97317906	Nfia(intragenic)	chr4:97647212-97651215
mm993	chr1:61507979-61509610	LOC100996570-NFIA	chr1:61042307-61043938	chr4:97411819-97413428	Nfia(intragenic)	chr4:97745128-97746737
mm1703	chr1:61648936-61650822	NFIA(intragenic)	chr1:61183264-61185150	chr4:97534796-97536607	Nfia(intragenic)	chr4:97868105-97869916
hs1309	chr1:61917795-61920190	LOC645030-MGC34796	chr1:61452123-61454518	chr4:97774300-97776785	Nfia(intragenic)	chr4:98107609-98110094
hs1484	chr1:62045460-62048159	LOC645030-MGC34796	chr1:61579788-61582487	chr4:97888231-97891318	Nfia-Tm2d1	chr4:98221540-98224627
hs1450	chr1:62053433-62055908	LOC645030-MGC34796	chr1:61587761-61590236	chr4:97909073-97911741	Nfia-Tm2d1	chr4:98242382-98245050
hs311	chr1:63369349-63370894	ATG4C-LINC00466	chr1:62903678-62905223	chr4:98961102-98962673	Atg4c-Foxd3	chr4:99294411-99295982
hs168	chr1:63443534-63444884	ATG4C-LINC00466	chr1:62977863-62979213	chr4:99019855-99021315	Atg4c-Foxd3	chr4:99353164-99354624
hs169	chr1:63464282-63465717	ATG4C-LINC00466	chr1:62998611-63000046	chr4:99040833-99042291	Atg4c-Foxd3	chr4:99374142-99375600
hs764	chr1:63665219-63666122	LINC00466(intragenic)	chr1:63199548-63200451	chr4:99240573-99241457	Atg4c-Foxd3	chr4:99573882-99574766
mm72	chr1:78299264-78302303	FAM73A(intragenic)	chr1:77833579-77836618	chr3:151966087-151968814	Fam73a(intragenic)	chr3:152303123-152305850
mm2010	chr1:78745812-78746676	MGC27382(intragenic)	chr1:78280128-78280992	chr3:151691486-151692892	Ptgfr-Gipc2	chr3:152028522-152029928
hs1989	chr1:79541347-79549134	ELTD1-LPHN2	chr1:79075662-79083449	chr3:151046160-151053038	Gm1653-Eltd1	chr3:151383196-151390074
hs1833	chr1:8130439-8131887	ERRFI1-SLC45A1	chr1:8070379-8071827	chr4:150198229-150200087	Slc45a1-1700045H11Rik	chr4:150824120-150825978
mm1076	chr1:81728191-81731261	ELTD1-LPHN2	chr1:81262506-81265576	chr3:149160298-149163362	Gm1653-Eltd1	chr3:149497334-149500398
hs436	chr1:82557436-82558140	LPHN2-LOC101927498	chr1:82091752-82092456	chr3:148362751-148363443	Ttll7-Lphn2	chr3:148699787-148700479
hs437	chr1:82663553-82664196	LPHN2-LOC101927498	chr1:82197869-82198512	chr3:148252778-148253418	Ttll7-Lphn2	chr3:148589814-148590454
hs438	chr1:82664608-82665419	LPHN2-LOC101927498	chr1:82198924-82199735	chr3:148251573-148252398	Ttll7-Lphn2	chr3:148588609-148589434
hs439	chr1:83220709-83221363	LPHN2-LOC101927498	chr1:82755026-82755680	chr3:147723530-147724193	Ttll7-Lphn2	chr3:148060566-148061229
hs440	chr1:83252219-83253218	LPHN2-LOC101927498	chr1:82786536-82787535	chr3:147695329-147696335	Ttll7-Lphn2	chr3:148032365-148033371
hs441	chr1:83310680-83311769	LPHN2-LOC101927498	chr1:82844997-82846086	chr3:147628952-147630054	Ttll7-Lphn2	chr3:147965988-147967090
hs442	chr1:83345366-83346271	LPHN2-LOC101927498	chr1:82879683-82880588	chr3:147593379-147594286	Ttll7-Lphn2	chr3:147930415-147931322
hs443	chr1:83360512-83361298	LPHN2-LOC101927498	chr1:82894829-82895615	chr3:147581602-147582374	Ttll7-Lphn2	chr3:147918638-147919410
hs444	chr1:83411289-83412040	LPHN2-LOC101927498	chr1:82945606-82946357	chr3:147525305-147526045	Ttll7-Lphn2	chr3:147862341-147863081
hs445	chr1:83878319-83879217	LOC101927498-MIR548AP	chr1:83412636-83413534	chr3:147106757-147107791	Ttll7-Lphn2	chr3:147443793-147444827
mm311	chr1:85690640-85691482	SYDE2-C1orf52	chr1:85224957-85225799	chr3:145627063-145627893	2410004B18Rik-Syde2	chr3:145964099-145964929
hs809	chr1:87795192-87796737	LMO4(intragenic)	chr1:87329509-87331054	chr3:143865977-143867509	Lmo4(intragenic)	chr3:144203013-144204545
hs1134	chr1:87803415-87805212	LMO4(intragenic)	chr1:87337732-87339529	chr3:143857473-143859391	Lmo4(intragenic)	chr3:144194509-144196427
hs174	chr1:87821621-87823082	LOC100505768(intragenic)	chr1:87355938-87357399	chr3:143836652-143838087	Gm6260-Lmo4	chr3:144173688-144175123
hs322	chr1:87821793-87822910	LOC100505768(intragenic)	chr1:87356110-87357227	chr3:143836778-143837913	Gm6260-Lmo4	chr3:144173814-144174949
hs1161	chr1:88025863-88027203	LOC100505768-LOC101927891	chr1:87560180-87561520	chr3:143648019-143649358	Gm6260-Lmo4	chr3:143985055-143986394
hs323	chr1:88028658-88029378	LOC100505768-LOC101927891	chr1:87562975-87563695	chr3:143645615-143646335	Gm6260-Lmo4	chr3:143982651-143983371
hs1217	chr1:88065041-88066530	LOC100505768-LOC101927891	chr1:87599358-87600847	chr3:143609910-143611449	Gm6260-Lmo4	chr3:143946946-143948485
hs1002	chr1:88108084-88109396	LOC100505768-LOC101927891	chr1:87642401-87643713	chr3:143576894-143578252	Gm6260-Lmo4	chr3:143913930-143915288
hs1058	chr1:88183654-88184961	LOC100505768-LOC101927891	chr1:87717971-87719278	chr3:143485258-143486612	Gm6260-Lmo4	chr3:143822294-143823648
hs1055	chr1:88402821-88404888	LOC100505768-LOC101927891	chr1:87937138-87939205	chr3:143276854-143278834	A830019L24Rik-Gm6260	chr3:143613890-143615870
hs1198	chr1:88535719-88538390	LOC100505768-LOC101927891	chr1:88070036-88072707	chr3:143159186-143161922	A830019L24Rik-Gm6260	chr3:143496222-143498958
hs1200	chr1:88577535-88578821	LOC100505768-LOC101927891	chr1:88111852-88113138	chr3:143117113-143118348	A830019L24Rik-Gm6260	chr3:143454149-143455384
hs1135	chr1:88595049-88596320	LOC100505768-LOC101927891	chr1:88129366-88130637	chr3:143096829-143097998	A830019L24Rik-Gm6260	chr3:143433865-143435034
hs878	chr1:88615687-88616927	LOC100505768-LOC101927891	chr1:88150004-88151244	chr3:143073982-143075204	A830019L24Rik-Gm6260	chr3:143411018-143412240
hs1216	chr1:88646698-88648145	LOC100505768-LOC101927891	chr1:88181015-88182462	chr3:143040720-143042111	A830019L24Rik-Gm6260	chr3:143377756-143379147
hs1107	chr1:88686076-88687740	LOC100505768-LOC101927891	chr1:88220393-88222057	chr3:142995548-142997211	A830019L24Rik-Gm6260	chr3:143332584-143334247
hs1068	chr1:88841735-88843091	LOC100505768-LOC101927891	chr1:88376052-88377408	chr3:142823870-142825252	Pkn2-A830019L24Rik	chr3:143160906-143162288
hs988	chr1:88875731-88877192	LOC100505768-LOC101927891	chr1:88410048-88411509	chr3:142796968-142798327	Pkn2-A830019L24Rik	chr3:143134004-143135363
hs327	chr1:88926796-88928508	LOC100505768-LOC101927891	chr1:88461113-88462825	chr3:142763855-142765590	Pkn2-A830019L24Rik	chr3:143100891-143102626
hs612	chr1:91305562-91307215	BARHL2-ZNF644	chr1:90840005-90841658	chr5:106993349-106995037	Barhl2-Zfp644	chr5:106564330-106566018
hs1499	chr1:92271540-92273987	TGFBR3(intragenic)	chr1:91805983-91808430	chr5:107650779-107653233	Tgfbr3(intragenic)	chr5:107221760-107224214
hs2418	chr1:92310736-92312231	TGFBR3(intragenic)	chr1:91845179-91846674	chr5:107679918-107681461	Tgfbr3(intragenic)	chr5:107250899-107252442
hs1615	chr1:9431127-9432834	SPSB1-LOC100506022	chr1:9371068-9372775	chr4:149267054-149268440	Slc25a33-Spsb1	chr4:149892945-149894331
mm436	chr1:94311776-94313246	LOC100129046-DNTTIP2	chr1:93846220-93847690	chr3:121995833-121997185	Dnttip2-Bcar3	chr3:122292915-122294267
hs2525	chr1:94546405-94548669	ABCA4(intragenic)	chr1:94080849-94083113	chr3:121784158-121786471	Abca4(intragenic)	chr3:122081240-122083553
hs2524	chr1:94552178-94554286	ABCA4(intragenic)	chr1:94086622-94088730	chr3:121782812-121782842	Abca4(intragenic)	chr3:122079894-122079924
mm435	chr1:94580867-94583522	ABCA4(intragenic)	chr1:94115311-94117966	chr3:121750389-121752165	Abca4(intragenic)	chr3:122047471-122049247
mm1360	chr1:94594858-94597806	ABCA4-ARHGAP29	chr1:94129302-94132250	chr3:121735128-121737942	Arhgap29-Abca4	chr3:122032210-122035024
mm434	chr1:94712025-94712999	ARHGAP29-ABCD3	chr1:94246469-94247443	chr3:121656460-121657309	Arhgap29(intragenic)	chr3:121953542-121954391
mm1327	chr1:94991817-94994813	ABCD3-LINC01057	chr1:94526261-94529257	chr3:121438015-121440547	F3-Abcd3	chr3:121735097-121737629
hs2322	chr1:95548541-95551861	ALG14-TMEM56	chr1:95082985-95086305	chr3:120979835-120984563	Tmem56-Alg14	chr3:121276917-121281645
hs671	chr1:97610491-97611741	DPYD-AS1(intragenic)	chr1:97144935-97146185	chr3:119064359-119065611	Dpyd(intragenic)	chr3:119361441-119362693
hs1006	chr10:102244842-102246334	WNT8B-SEC31B	chr10:100485085-100486577	chr19:44588622-44590360	Wnt8b-Sec31b	chr19:44514132-44515870
hs224	chr10:102372214-102374206	HIF1AN-PAX2	chr10:100612457-100614449	chr19:44705460-44707531	Hif1an-Pax2	chr19:44630970-44633041
hs225	chr10:102374886-102375478	HIF1AN-PAX2	chr10:100615129-100615721	chr19:44708134-44708716	Hif1an-Pax2	chr19:44633644-44634226
hs285	chr10:102414915-102415578	HIF1AN-PAX2	chr10:100655158-100655821	chr19:44745295-44745921	Hif1an-Pax2	chr19:44670805-44671431
hs286	chr10:102419119-102419731	HIF1AN-PAX2	chr10:100659362-100659974	chr19:44749116-44749728	Hif1an-Pax2	chr19:44674626-44675238
hs228	chr10:102447081-102448985	HIF1AN-PAX2	chr10:100687324-100689228	chr19:44773087-44775208	Hif1an-Pax2	chr19:44698597-44700718
hs229	chr10:102546590-102548095	PAX2(intragenic)	chr10:100786833-100788338	chr19:44871011-44872504	Pax2(intragenic)	chr19:44796521-44798014
hs520	chr10:102551472-102552372	PAX2(intragenic)	chr10:100791715-100792615	chr19:44875741-44877029	Pax2(intragenic)	chr19:44801251-44802539
mm1450	chr10:102801463-102803819	SFXN3-KAZALD1	chr10:101041706-101044062	chr19:45131971-45134332	Sfxn3-Kazald1	chr19:45057481-45059842
hs324	chr10:102978822-102979600	TLX1-LBX1	chr10:101219065-101219843	chr19:45300035-45300810	Tlx1-Lbx1	chr19:45225545-45226320
hs939	chr10:103094612-103095386	LBX1-AS1-BTRC	chr10:101334855-101335629	chr19:45417343-45418175	Lbx1-Btrc	chr19:45342853-45343685
hs897	chr10:103245010-103246610	BTRC(intragenic)	chr10:101485253-101486853	chr19:45549927-45551451	Btrc(intragenic)	chr19:45475437-45476961
hs326	chr10:103266649-103267972	BTRC(intragenic)	chr10:101506892-101508215	chr19:45568075-45569359	Btrc(intragenic)	chr19:45493585-45494869
hs2237	chr10:10335147-10338188	LINC00709-SFTA1P	chr10:10293184-10296225	chr2:7561350-7564107	5031426D15Rik-1700061F12Rik	chr2:7639723-7642480
hs511	chr10:103527193-103528393	FBXW4-FGF8	chr10:101767436-101768636	chr19:45808949-45810113	4933429K18Rik-Fgf8	chr19:45734459-45735623
hs513	chr10:103540180-103541030	FGF8-NPM3	chr10:101780423-101781273	chr19:45821390-45822173	Fgf8-Npm3	chr19:45746900-45747683
mm195	chr10:104529303-104530496	WBP1L(intragenic)	chr10:102769546-102770739	chr19:46692988-46694228	D19Wsu162e(intragenic)	chr19:46618498-46619738
mm1098	chr10:105407941-105409017	SH3PXD2A(intragenic)	chr10:103648183-103649259	chr19:47375696-47376732	Sh3pxd2a(intragenic)	chr19:47301206-47302242
mm324	chr10:106087000-106089175	ITPRIP(intragenic)	chr10:104327242-104329417	chr19:47982949-47985086	Itprip(intragenic)	chr19:47908459-47910596
hs951	chr10:107319200-107319911	SORCS3-AS1-SORCS1	chr10:105559442-105560153	chr19:49202146-49202811	Sorcs3-Sorcs1	chr19:49127656-49128321
mm1351	chr10:112094940-112097216	SMNDC1-DUSP5	chr10:110335182-110337458	chr19:53485525-53487959	Smndc1-5830416P10Rik	chr19:53411035-53413469
mm64	chr10:112444357-112445722	RBM20(intragenic)	chr10:110684599-110685964	chr19:53790059-53791936	Rbm20(intragenic)	chr19:53715569-53717446
hs328	chr10:114403685-114404566	MIR4295-TCF7L2	chr10:112643926-112644807	chr19:55551090-55552027	Vti1a(intragenic)	chr19:55476600-55477537
hs1980	chr10:114757704-114758656	TCF7L2(intragenic)	chr10:112997945-112998897	chr19:55857845-55857922	Tcf7l2(intragenic)	chr19:55783355-55783432
hs1382	chr10:11721307-11722768	USP6NL-ECHDC3	chr10:11679308-11680769	chr2:6182034-6183961	A230108P19Rik(intragenic)	chr2:6260988-6262915
mm445	chr10:117952116-117953577	GFRA1(intragenic)	chr10:116192604-116194065	chr19:58446412-58447552	Gm10007-1700011F14Rik	chr19:58371922-58373062
mm916	chr10:117997167-117998429	GFRA1(intragenic)	chr10:116237655-116238917	chr19:58493721-58494961	Gm10007-1700011F14Rik	chr19:58419231-58420471
hs841	chr10:118854124-118855243	KIAA1598-VAX1	chr10:117094613-117095732	chr19:59207451-59208587	4930506M07Rik-Vax1	chr19:59132961-59134097
hs934	chr10:118855697-118856749	KIAA1598-VAX1	chr10:117096186-117097238	chr19:59209039-59210067	4930506M07Rik-Vax1	chr19:59134549-59135577
mm447	chr10:119008064-119009156	SLC18A2(intragenic)	chr10:117248553-117249645	chr19:59341618-59342768	Slc18a2(intragenic)	chr19:59267128-59268278
mm448	chr10:119262384-119264248	EMX2OS(intragenic)	chr10:117502873-117504737	chr19:59497704-59500060	Pdzd8-Emx2	chr19:59423214-59425570
hs1032	chr10:119309200-119310544	EMX2-RAB11FIP2	chr10:117549689-117551033	chr19:59539995-59541288	Emx2-2700089I24Rik	chr19:59465505-59466798
hs935	chr10:119310483-119311458	EMX2-RAB11FIP2	chr10:117550972-117551947	chr19:59541226-59542178	Emx2-2700089I24Rik	chr19:59466736-59467688
hs1221	chr10:119313709-119314860	EMX2-RAB11FIP2	chr10:117554198-117555349	chr19:59544411-59545792	Emx2-2700089I24Rik	chr19:59469921-59471302
hs1087	chr10:119491936-119493137	EMX2-RAB11FIP2	chr10:117732425-117733626	chr19:59713226-59714464	2700089I24Rik-Rab11fip2	chr19:59637323-59638561
hs1236	chr10:119589659-119591176	EMX2-RAB11FIP2	chr10:117830148-117831665	chr19:59793001-59794370	2700089I24Rik-Rab11fip2	chr19:59717098-59718467
hs1551	chr10:119725799-119727161	EMX2-RAB11FIP2	chr10:117966288-117967650	chr19:59941608-59943090	2700089I24Rik-Rab11fip2	chr19:59865705-59867187
mm449	chr10:119867800-119869350	CASC2-FAM204A	chr10:118108289-118109839	chr19:60091345-60092740	Rab11fip2-E330013P04Rik	chr19:60015442-60016837
hs672	chr10:120074039-120075696	FAM204A(intragenic)	chr10:118314527-118316184	chr19:60278961-60280625	D19Ertd737e(intragenic)	chr19:60203058-60204722
mm607	chr10:122801885-122803455	WDR11-FGFR2	chr10:121042372-121043942	chr7:136886955-136888502	Wdr11-Gm4265	chr7:129743441-129744988
mm608	chr10:123111202-123112913	WDR11-FGFR2	chr10:121351688-121353399	chr7:137203062-137204849	Gm4265-Fgfr2	chr7:130059548-130061335
mm938	chr10:123559430-123561018	ATE1(intragenic)	chr10:121799915-121801503	chr7:137569279-137570835	Ate1(intragenic)	chr7:130425765-130427321
mm1647	chr10:123897633-123900421	TACC2(intragenic)	chr10:122138118-122140906	chr7:137811417-137814532	Tacc2(intragenic)	chr7:130667903-130671018
hs1319	chr10:124827454-124829734	ACADSB-HMX3	chr10:123067938-123070218	chr7:138607460-138609366	Acadsb-Hmx3	chr7:131463946-131465852
hs329	chr10:124851813-124853071	ACADSB-HMX3	chr10:123092297-123093555	chr7:138640171-138641423	Acadsb-Hmx3	chr7:131496657-131497909
hs1005	chr10:124902927-124904638	HMX3-HMX2	chr10:123143411-123145122	chr7:138693241-138694836	Hmx3-Hmx2	chr7:131549727-131551322
hs771	chr10:125108319-125109394	BUB3-GPR26	chr10:123348803-123349878	chr7:138904276-138905342	Bub3-Gpr26	chr7:131712593-131713659
hs578	chr10:125188987-125190075	BUB3-GPR26	chr10:123429471-123430559	chr7:138969362-138970449	Bub3-Gpr26	chr7:131777679-131778766
mm1602	chr10:125710554-125719036	CPXM2-CHST15	chr10:123951038-123959520	chr7:139394961-139396888	Cpxm2-Chst15	chr7:132203278-132205205
mm547	chr10:126426533-126427451	FAM53B(intragenic)	chr10:124737964-124738882	chr7:139999272-140000233	Fam53b-Mettl10	chr7:132807589-132808550
hs330	chr10:126905322-126906003	MIR4296-TEX36-AS1	chr10:125216753-125217434	chr7:140381463-140382124	4930483O08Rik-4930404H21Rik	chr7:133189780-133190441
mm1405	chr10:128599966-128602768	DOCK1(intragenic)	chr10:126911397-126914199	chr7:141869653-141872185	Dock1(intragenic)	chr7:134677970-134680502
mm1401	chr10:129207407-129209438	FAM196A-NPS	chr10:127409143-127411174	chr7:142329604-142332301	Fam196a-1700120G07Rik	chr7:135137921-135140618
hs542	chr10:129964063-129965094	MKI67-MGMT	chr10:128165799-128166830	chr7:142948513-142949539	Mki67-C230079O03	chr7:135756830-135757856
mm1590	chr10:130123906-130126100	MKI67-MGMT	chr10:128325642-128327836	chr7:143079879-143082136	Mki67-C230079O03	chr7:135888196-135890453
mm2007	chr10:130315476-130318494	MKI67-MGMT	chr10:128517212-128520230	chr7:143229598-143231859	Mki67-C230079O03	chr7:136037915-136040176
hs737	chr10:130366868-130368005	MKI67-MGMT	chr10:128568604-128569741	chr7:143274888-143276032	Mki67-C230079O03	chr7:136083205-136084349
